iteration,curr policy return,max return,median return,avg return,std return,avg rollout len,min mag policy param,max mag policy param,median imp samp return,min imp samp return,min expl strat std,avg expl strat std,max expl strat std,expl strat entropy
0,-8.710662412873106,760.0009674816167,-59.49109091927956,-54.75214796469511,161.70942654960675,1454.1742574257426,-0.06588651703635981,0.9594797017748344,254.09926481440442,197.45186031794333,0.4952320663210924,0.6740265907538588,0.9926125539900024,-1.2462299865117759
1,142.9067609565233,541.4432401163832,-35.41420913162493,-54.41402173803204,198.31093852441822,1056.4019801980198,0.028735621976779157,0.659794569762903,365.2500586127184,215.082042587284,0.4800436618741938,0.6996407588327149,1.018251459540245,-0.9231380338674846
2,26.08922252016557,488.0381192165846,-10.618967937350027,-64.6238376113633,221.2182947981403,1148.110891089109,-0.1353694016491672,0.8352587767568821,277.2010287800021,222.88229230239176,0.34129310443874794,0.5592734015956519,0.7267108513350384,-2.231934706655034
3,142.78333728731837,615.8282986546582,-8.751857440182793,-15.873068953842044,169.89118164223183,1317.918811881188,0.07078493691725676,0.6299086176047138,342.9185866063518,236.08888376576806,0.3026654464641786,0.347306753251194,0.40874946127083484,-4.958370737214771
4,526.2311810162637,1381.008954084298,33.62058877814255,119.71127293017896,280.8111973711075,1270.1683168316831,0.013518243963281284,1.0958515155246578,817.7914025855504,674.3256381149829,0.19462435684886153,0.31779845312787885,0.42765265367643823,-5.683563109152338
5,1030.6007983936624,1503.52900454265,54.482756066416734,134.1965640344503,302.27627122916215,1262.0950495049506,-0.04331775457789238,1.2476513418814947,1087.5830003662575,677.0875910317316,0.11401600363224819,0.2055208597840044,0.2871375059982868,-8.482765299354769
6,1036.5707037069046,1080.1495026744374,142.50981400470496,257.770124646996,300.0721407575729,1311.3722772277229,-0.05323266176464527,1.2440819700359107,1036.5707037069046,836.2666470146954,0.12306302638322535,0.19995654133601218,0.44312435939109734,-8.934397363815823
7,1372.1527449006005,1468.4834040530375,319.41293220853925,351.49493635854265,367.647850404073,1339.70099009901,-0.02060456524553212,1.2147972792939679,1380.287130870913,1353.5553103693815,0.043445394961782485,0.1479220675713729,0.38705008846936084,-11.804067570846986
8,1190.6823499484422,1554.9531478915023,442.09111042608276,498.9841182235761,362.36674100186576,1405.9623762376239,0.07134620765620289,1.2265204543711241,1373.3864119939967,1192.885666625422,0.04113023930981834,0.08674639252748194,0.14328866679493457,-13.760231277175372
9,1208.1312553685761,1503.8858949526261,671.1936789766326,740.8832172879393,337.9060063313051,1460.7821782178219,0.015087683321546608,1.2758841315893692,1366.5288590416953,1355.1885024051735,0.018076026431905142,0.05416133713740234,0.09643366296125244,-17.166969482632815
